Posicao;Fluxo_Concatenado_estatorA;Fluxo_Concatenado_estatorB;Fluxo_Concatenado_estatorC;Tensao_A;Tensao_B;Tensao_C;Indutancia_A;Indutancia_B;Indutancia_C;R_A;R_B;R_C;Potencia_A;Potencia_B;Potencia_C
230;0,9138235416023548;-0,7132090587301418;-0,1952700961018151;1,979366134544834;-0,6245720299533202;-1,354794105307023;0,08258319306306638;0,20426303643751928;0,02578207728631807;0,17887739611630754;0,17887739611630754;0,17887739611630749;21,902657237002227;2,1807686665249264;10,26103413637138
235;0,9212823959222058;-0,557244978496799;-0,3536847376641854;1,876932632251134;-0,2830529266989977;-1,593879706267646;0,08780101812855445;0,35215509662754585;0,03969321189714995;0,17887739611630749;0,1788773961163075;0,17887739611630749;19,694361515183108;0,4478987342859919;14,20219979275646
240;0,9683950778049892;-0,4604432057850942;-0,4985795686190335;1,718195301356908;0,06695713845355303;-1,785152439810462;0,10081740404761058;-1,2300836566875755;0,04995910321296357;0,17887739611630743;0,1788773961163075;0,17887739611630754;16,504014244960366;0,025063303062468657;17,81538250528413
245;0,8999928158889573;-0,2784518154463661;-0,6209113431560443;1,507915909663463;0,4149586374431333;-1,922874547464352;0,10676216783569145;-0,12003301340541556;0,057760920715963344;0,17887739611630746;0,17887739611630754;0,1788773961163076;12,711557972018666;0,9626183885005906;20,670283700250902
250;0,8800781234939935;-0,1484863821906895;-0,7524032506765881;1,252402374462865;0,7505122949128974;-2,002914669375763;0,12569928508563327;-0,03539030284385146;0,06719604003520518;0,17887739611630754;0,17887739611630754;0,1788773961163076;8,768641212444546;3,1489093482173787;22,426909491639748
255;0,770566351764029;0,0401098928882733;-0,8211448172608526;0,9593195370844584;1,063552242785902;-2,022871780764748;0,14368195080994892;0,006746027989715444;0,07261174343461987;0,17887739611630743;0,17887739611630757;0,17887739611630754;5,144831008349191;6,323567972777531;22,876061091328072
260;0,7152368328240413;0,1953683458155986;-0,9160434859244903;0,6374592346054122;1,344687974790252;-1,982147209395665;0,20070256310779475;0,025988914631660698;0,08266766096622925;0,17887739611630754;0,17887739611630749;0,17887739611630757;2,271691586563028;10,108520074665067;21,964248390335545
265;0,5595153624426853;0,3543480388979188;-0,9237949922734069;0,2964765646277741;1,585486040614855;-1,881962605600384;0,3375803117743075;0,03997818517052284;0,08780516800461857;0,17887739611630754;0,17887739611630749;0,17887739611630749;0,49138882431145464;14,053010830670294;19,800060408836067
270;0,4616050696278599;0,499287333534762;-0,9708513918757041;-0,05339974709835942;1,778723030600849;-1,725323283502489;-1,5462753547695212;0,05021086284939112;0,10065555287822567;0,17887739611630754;0,17887739611630749;0,1788773961163074;0,015941270680811206;17,687285751480335;16,641233030138203
275;0,2803075276446391;0,6223945961267823;-0,9025626087034443;-0,4016741841951524;1,918602262989572;-1,516928078078909;-0,1248292338163117;0,058027829352468994;0,1064309189142819;0,1788773961163075;0,17887739611630762;0,17887739611630749;0,9019705885249764;20,578534367502012;12,863955111287499
